,noise_level,spatial_wt,fft_wt,dtcwt_wt,rrmse
0,high_2,,,,0.1819411665201187
1,high_2,0.0,1e-06,3.0,0.10601142793893814
2,high_2,0.0,1e-06,6.0,0.10619672387838364
3,high_2,0.0,1e-06,9.0,0.11328553408384323
4,high_2,0.0,0.0001,3.0,0.1106279268860817
5,high_2,0.0,0.0001,6.0,0.1155252456665039
6,high_2,0.0,0.0001,9.0,0.11766070872545242
7,high_2,0.0,0.01,3.0,0.08365436643362045
8,high_2,0.0,0.01,6.0,0.08617082238197327
9,high_2,0.0,0.01,9.0,0.08526848256587982
10,high_2,0.0,1.0,3.0,0.08329059183597565
11,high_2,0.0,1.0,6.0,0.0913284420967102
12,high_2,0.0,1.0,9.0,0.090090312063694
13,high_2,3.0,0.0,3.0,0.1051168292760849
14,high_2,3.0,0.0,6.0,0.10484892874956131
15,high_2,3.0,0.0,9.0,0.11599582433700562
16,high_2,3.0,1e-06,0.0,1.0
17,high_2,3.0,1e-06,3.0,0.10610940307378769
18,high_2,3.0,1e-06,6.0,0.10961753875017166
19,high_2,3.0,1e-06,9.0,0.13553355634212494
20,high_2,3.0,0.0001,0.0,0.08554777503013611
21,high_2,3.0,0.0001,3.0,0.10051277279853821
22,high_2,3.0,0.0001,6.0,0.1319667547941208
23,high_2,3.0,0.0001,9.0,0.10629057884216309
24,high_2,3.0,0.01,0.0,0.08127713948488235
25,high_2,3.0,0.01,3.0,0.08780763298273087
26,high_2,3.0,0.01,6.0,0.08798844367265701
27,high_2,3.0,0.01,9.0,0.08596701920032501
28,high_2,3.0,1.0,0.0,1.0
29,high_2,3.0,1.0,3.0,0.0889573022723198
30,high_2,3.0,1.0,6.0,0.089826799929142
31,high_2,3.0,1.0,9.0,0.08304554224014282
32,high_2,6.0,0.0,3.0,0.8832036852836609
33,high_2,6.0,0.0,6.0,0.10286044329404831
34,high_2,6.0,0.0,9.0,0.11616955697536469
35,high_2,6.0,1e-06,0.0,0.08530154824256897
36,high_2,6.0,1e-06,3.0,0.10269111394882202
37,high_2,6.0,1e-06,6.0,1.0
38,high_2,6.0,1e-06,9.0,0.10903561115264893
39,high_2,6.0,0.0001,0.0,0.08492745459079742
40,high_2,6.0,0.0001,3.0,0.10040217638015747
41,high_2,6.0,0.0001,6.0,0.09933211654424667
42,high_2,6.0,0.0001,9.0,0.10577720403671265
43,high_2,6.0,0.01,0.0,0.08325010538101196
44,high_2,6.0,0.01,3.0,0.08885291963815689
45,high_2,6.0,0.01,6.0,0.08489968627691269
46,high_2,6.0,0.01,9.0,0.08704587817192078
47,high_2,6.0,1.0,0.0,0.08954202383756638
48,high_2,6.0,1.0,3.0,0.09091506898403168
49,high_2,6.0,1.0,6.0,0.0857565775513649
50,high_2,6.0,1.0,9.0,0.09394339472055435
51,high_2,9.0,0.0,3.0,0.8606095314025879
52,high_2,9.0,0.0,6.0,0.10497152805328369
53,high_2,9.0,0.0,9.0,0.10373641550540924
54,high_2,9.0,1e-06,0.0,0.08914247900247574
55,high_2,9.0,1e-06,3.0,0.10367003828287125
56,high_2,9.0,1e-06,6.0,0.10710087418556213
57,high_2,9.0,1e-06,9.0,0.11328057944774628
58,high_2,9.0,0.0001,0.0,0.08946648240089417
59,high_2,9.0,0.0001,3.0,0.09836048632860184
60,high_2,9.0,0.0001,6.0,0.10302751511335373
61,high_2,9.0,0.0001,9.0,0.11253992468118668
62,high_2,9.0,0.01,0.0,0.08850433677434921
63,high_2,9.0,0.01,3.0,0.08895912766456604
64,high_2,9.0,0.01,6.0,0.08875766396522522
65,high_2,9.0,0.01,9.0,0.08601386100053787
66,high_2,9.0,1.0,0.0,0.08832655847072601
67,high_2,9.0,1.0,3.0,0.08270200341939926
68,high_2,9.0,1.0,6.0,0.08883119374513626
69,high_2,9.0,1.0,9.0,0.08806324005126953
70,low_2,,,,0.11096006631851196
71,low_2,0.0,1e-06,3.0,0.9790690541267395
72,low_2,0.0,1e-06,6.0,0.10965146869421005
73,low_2,0.0,1e-06,9.0,0.12082666158676147
74,low_2,0.0,0.0001,3.0,0.09784990549087524
75,low_2,0.0,0.0001,6.0,0.09964815527200699
76,low_2,0.0,0.0001,9.0,1.0
77,low_2,0.0,0.01,3.0,0.06524914503097534
78,low_2,0.0,0.01,6.0,0.07838060706853867
79,low_2,0.0,0.01,9.0,1.0
80,low_2,0.0,1.0,3.0,0.0682319775223732
81,low_2,0.0,1.0,6.0,0.06788797676563263
82,low_2,0.0,1.0,9.0,0.06746482849121094
83,low_2,3.0,0.0,3.0,0.0973137766122818
84,low_2,3.0,0.0,6.0,0.10982595384120941
85,low_2,3.0,0.0,9.0,0.1063871681690216
86,low_2,3.0,1e-06,0.0,0.07214666903018951
87,low_2,3.0,1e-06,3.0,0.09105045348405838
88,low_2,3.0,1e-06,6.0,1.0
89,low_2,3.0,1e-06,9.0,0.08979781717061996
90,low_2,3.0,0.0001,0.0,1.0
91,low_2,3.0,0.0001,3.0,0.8399159908294678
92,low_2,3.0,0.0001,6.0,0.08070693910121918
93,low_2,3.0,0.0001,9.0,0.09655798971652985
94,low_2,3.0,0.01,0.0,0.0712318867444992
95,low_2,3.0,0.01,3.0,1.0
96,low_2,3.0,0.01,6.0,0.08675175160169601
97,low_2,3.0,0.01,9.0,0.069019615650177
98,low_2,3.0,1.0,0.0,0.06436581164598465
99,low_2,3.0,1.0,3.0,0.06705598533153534
100,low_2,3.0,1.0,6.0,0.06534384936094284
101,low_2,3.0,1.0,9.0,0.06885335594415665
102,low_2,6.0,0.0,3.0,0.10883806645870209
103,low_2,6.0,0.0,6.0,0.9220066070556641
104,low_2,6.0,0.0,9.0,0.09905627369880676
105,low_2,6.0,1e-06,0.0,0.08197323977947235
106,low_2,6.0,1e-06,3.0,0.08288446068763733
107,low_2,6.0,1e-06,6.0,0.102467842400074
108,low_2,6.0,1e-06,9.0,0.08938273787498474
109,low_2,6.0,0.0001,0.0,0.06513909250497818
110,low_2,6.0,0.0001,3.0,0.0826530009508133
111,low_2,6.0,0.0001,6.0,0.8825235962867737
112,low_2,6.0,0.0001,9.0,0.08988958597183228
113,low_2,6.0,0.01,0.0,0.07778052985668182
114,low_2,6.0,0.01,3.0,0.08926302939653397
115,low_2,6.0,0.01,6.0,0.06804100424051285
116,low_2,6.0,0.01,9.0,0.0707656741142273
117,low_2,6.0,1.0,0.0,0.0795951783657074
118,low_2,6.0,1.0,3.0,0.0676530972123146
119,low_2,6.0,1.0,6.0,0.071742944419384
120,low_2,6.0,1.0,9.0,0.07529782503843307
121,low_2,9.0,0.0,3.0,1.0
122,low_2,9.0,0.0,6.0,0.09823701530694962
123,low_2,9.0,0.0,9.0,0.09797554463148117
124,low_2,9.0,1e-06,0.0,0.07671567797660828
125,low_2,9.0,1e-06,3.0,0.08812658488750458
126,low_2,9.0,1e-06,6.0,0.10607379674911499
127,low_2,9.0,1e-06,9.0,0.9150402545928955
128,low_2,9.0,0.0001,0.0,0.06742047518491745
129,low_2,9.0,0.0001,3.0,0.08719292283058167
130,low_2,9.0,0.0001,6.0,0.1093512699007988
131,low_2,9.0,0.0001,9.0,0.0879167914390564
132,low_2,9.0,0.01,0.0,0.06742723286151886
133,low_2,9.0,0.01,3.0,0.06646846234798431
134,low_2,9.0,0.01,6.0,0.06627437472343445
135,low_2,9.0,0.01,9.0,0.06769883632659912
136,low_2,9.0,1.0,0.0,0.08097045868635178
137,low_2,9.0,1.0,3.0,1.0
138,low_2,9.0,1.0,6.0,0.0748559832572937
139,low_2,9.0,1.0,9.0,0.06671653687953949
